TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
BRIDGE TOO FAR,BRIDGE TOO FAR,APPROVED,"ARMY FOUND SCRIPT EXCELLENT, RELATIVELY SMALL AMERICAN PRESENCE IN BRITISH FILM.",,,,,,TRUE,1977,6/15/1977,"Siem Vroom, Marlies van Alcmaer, Erik van 't Wout, Wolfgang Preiss",Won 3 BAFTA Film Awards. Another 4 wins & 4 nominations.,TRUE,"USA, UK",Richard Attenborough,"Drama, History, War","The true story of Operation Market Garden, the Allies attempt, in September 1944, to hasten the end of WW2 by driving through Belgium and Holland into Germany. The idea was for US airborne divisions to take the towns of Eindhoven and Nijmegen and a British airborne division, reinforced by a Polish airborne brigade, to take the town of Arnhem. They would be reinforced, in due course and in turn, by the British XXX Corps, land-based and driving up from the British lines in the south. The key to the operation was the bridges, as if the Germans held or blew them, the paratroopers could not be relieved. Faulty intelligence, Allied high command hubris and stubborn German resistance would ensure that Arnhem was a bridge too far.",https://m.media-amazon.com/images/M/MV5BMTczNjg0MzQyM15BMl5BanBnXkFtZTcwMjY0NjAzNA@@._V1_SX300.jpg,PG,,175,A Bridge Too Far,64%,,7.4,tt0075784,"51,049"
FIRST BLOOD,FIRST BLOOD,DENIED,DECLINED TO ASSIST BECAUSE MILITARY PORTRAYALS WERE TOTALLY NEGATIVE AND INACCURATE.,,,,,,TRUE,1982,10/22/1982,"Sylvester Stallone, Richard Crenna, Brian Dennehy, Bill McKinney",1 win & 2 nominations.,TRUE,USA,Ted Kotcheff,"Action, Adventure","John J. Rambo is a former United States Special Forces soldier who fought in Vietnam and won the Congressional Medal of Honor, but his time in Vietnam still haunts him. As he came to Hope, Washington to visit a friend, he was guided out of town by the Sheriff William Teasel who insults Rambo, but what Teasel does not know that his insult angered Rambo to the point where Rambo became violent and was arrested. As he was at the county jail being cleaned, he escapes and goes on a rampage through the forest to try to escape from the sheriffs who want to kill him. Then, as Rambo's commanding officer, Colonel Samuel Trautman tries to save both the Sheriff's department and Rambo before the situation gets out of hand.",https://m.media-amazon.com/images/M/MV5BODBmOWU2YWMtZGUzZi00YzRhLWJjNDAtYTUwNWVkNDcyZmU5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,,93,First Blood,85%,61,7.7,tt0083944,"222,055"
BATMAN & ROBIN,BATMAN & ROBIN,LIMITED,ARMY ALLOWED USE OF WIND TUNNEL AT FORT BRAGG FOR BRIFF SEQUENCE,,,,,,TRUE,1997,6/20/1997,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman",10 wins & 22 nominations.,TRUE,"USA, UK",Joel Schumacher,"Action, Sci-Fi","Batman and Robin are back working side-by-side to stop the villains of Gotham City, but is there tension appearing between them, especially when one villainess who calls herself Poison Ivy can make anyone fall in love with her...literally. Along with Poison Ivy, the icy Mr. Freeze is freezing anything which gets in his way from achieving his goal.",https://m.media-amazon.com/images/M/MV5BMGQ5YTM1NmMtYmIxYy00N2VmLWJhZTYtN2EwYTY3MWFhOTczXkEyXkFqcGdeQXVyNTA2NTI0MTY@._V1_SX300.jpg,PG-13,,125,Batman & Robin,11%,28,3.8,tt0118688,"231,357"
ANZIO,ANZIO,APPROVED,TYPICAL ARMY SUPPORT FOR WORLD WAR II STORY SET IN FAMOUS ASSAULT.,,,,,,TRUE,1968,7/24/1968,"Robert Mitchum, Peter Falk, Robert Ryan, Earl Holliman",,FALSE,"Italy, USA","Edward Dmytryk, Duilio Coletti","Drama, History, War","Allied forces land at Anzio unopposed but instead of moving straight inland their commanding officer decides to dig in. A battle-hardened war correspondent borrows a jeep and drives to Rome and back without meeting any German forces, but his report on this absence of the enemy is discounted. By the time it is finally decided to make a move the Germans have arrived in strength and a prolonged and bloody fight ensues.",https://m.media-amazon.com/images/M/MV5BYTdkZjg0YjktODg2MC00OWJhLTgxYjAtMjM3NTI0NTRkZTI0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG-13,Vietnam War,117,Anzio,67%,,6,tt0062673,"2,856"
EXTRAORDINARY SEAMAN,EXTRAORDINARY SEAMAN,LIMITED,MISGUIDED WORLD WAR II COMEDY. SOME COMBAT FOOTAGE AND SHOTS OF SHIPS,,,,,,TRUE,1969,1/1/1969,"David Niven, Faye Dunaway, Alan Alda, Mickey Rooney",,FALSE,USA,John Frankenheimer,"Adventure, Comedy, War","Lt. Commander Finchhaven, a ghostly relic from the First World War, he had fallen down dead drunk on his first assignment and been consigned from the great beyond to sail the seas until a further opportunity arises to redeem his actions. During the Second World War, he is encountered by a quartet of American seamen that includes Lt. Morton Krim and cook W.J. Oglethorpe. A deal is completed whereby the men will help re-float Finchhaven's command in return for a passage to Australia. They raid a village to secure batteries for the engine and come upon the feisty Jennifer Winslow who offers them aid in return for a passage with the crew. Eventually they reach the open sea. Finchhaven's ghostly status is revealed and Lt. Krim and Jennifer help him to sink a Japanese cruiser.",https://m.media-amazon.com/images/M/MV5BZDk0MmNlNGYtMWEwYi00ZGFiLWI3OWMtZjRiNTEwNWU1M2Y0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,G,Vietnam War,80,The Extraordinary Seaman,,,3.3,tt0064307,617
FLIGHT LIEUTENANT,FLIGHT LIEUTENANT,LIMITED,ARMY AIR CORPS PREPAREDNESS FILM. USE OF PLANES AND MEN AS BACKGROUND.,,,,,,TRUE,1942,7/9/1942,"Pat O'Brien, Glenn Ford, Evelyn Keyes, Jonathan Hale",,FALSE,USA,Sidney Salkow,Drama,"A disgraced pilot determines to regain the respect of both his son, now a test pilot for the Army, and the men he once flew with.",https://m.media-amazon.com/images/M/MV5BMjA1MDY0ODA3NF5BMl5BanBnXkFtZTcwMzgyMjAwMQ@@._V1_SX300.jpg,,World War II,80,Flight Lieutenant,,,6.1,tt0034739,87
ALOHA,ALOHA,DENIED,APPROVED ACCESS TO FORMER HOUSING AREA AT JOINT BASE PEARL HARBOR-HICKAM AFB,,,,,,TRUE,2015,5/29/2015,"Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",2 wins & 7 nominations.,TRUE,USA,Cameron Crowe,"Comedy, Drama, Romance","A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu, Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.",https://m.media-amazon.com/images/M/MV5BMTg4Mjc0NTE1NV5BMl5BanBnXkFtZTgwNzcwNTQ3NTE@._V1_SX300.jpg,PG-13,,105,Aloha,20%,40,5.4,tt1243974,"61,456"
CASTLE KEEP,CASTLE KEEP,OTHER,ANOTHER ARMY WORLD WAR II STORY MADE IN EUROPE WITHOUT ASSISTANCE REQUESTED.,,,,,,TRUE,1969,9/20/1969,"Burt Lancaster, Patrick O'Neal, Jean-Pierre Aumont, Peter Falk",,FALSE,USA,Sydney Pollack,"Action, Comedy, Drama, Romance, War","Toward the end of World War II, a small company of American GI's occupy an ancient castle. Their commander has an affair with the countess in resident. One guy falls in love with a Volkswagon. A baker among them moves in with another baker's wife. A group of shell shocked holy rollers wander the bombed out streets. A GI art historian tries vainly to protect the castle and its masterpieces.",https://m.media-amazon.com/images/M/MV5BMzVjODM0OTUtMDI1MC00MWYyLTgzNGItY2JjMzJhZDVlYTM4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,R,Vietnam War,107,Castle Keep,38%,,6.2,tt0064137,"2,636"
X-15,X-15,APPROVED,AIR FORCE AND NASA PROVIDED FULL COOPERATION ON DOCUDRAMA ABOUT X-15 PROGRAM,,,,,,TRUE,1961,12/22/1961,"David McLean, Charles Bronson, Ralph Taeger, Brad Dexter",,FALSE,USA,Richard Donner,"Drama, History","At the height of the Cold War during the 1960s the U.S. Air Force and NASA tested an experimental rocket-powered research aircraft code-named X-15.The X-15 experiments were conducted at Edwards Air Force Base.The X-15 aircraft set altitude and speed records by reaching the edge of outer space.The project is managed by U.S. Air Force Colonel Craig Brewster and scientist Tom Deparma. The main test pilots are Matt Powell, Colonel Lee Brandon and Major Ernest Wilde.During the test flights the X-15 aircraft is dropped from a B-52 Stratofortress mother ship before starting its engine.The whole test team is enthusiastic about the project but the project is plagued by setbacks and near disasters right from the start.",https://m.media-amazon.com/images/M/MV5BZWM3YmExZjEtYzUyYi00NDg3LWE5NzItZWYyNjVkMDBkZTRkXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,,Vietnam War,107,X-15,50%,,5.9,tt0055627,494
HERO OF SUBMARINE D-2,HERO OF SUBMARINE D-2,APPROVED,NAVY GAVE COOPERATION TO EARLY SUBMARINE STORY--USE OF SUB FOR EXTERIOR SHOTS,,,,,,TRUE,1916,3/13/1916,"Charles Richman, James Morrison, Anders Randolf, Charles Wellesley",,FALSE,USA,Paul Scardon,"Drama, War",,,,World War I,,The Hero of Submarine D-2,,,,tt0157751,
GOLDFINGER,GOLDFINGER,LIMITED,DOD CONTINUED TRADITION OF PROVIDING LIMITED ASSISTANCE TO THE JAMES BOND FILMS,,,,,,TRUE,1964,1/9/1965,"Sean Connery, Gert Fr̦be, Honor Blackman, Shirley Eaton",Won 1 Oscar. Another 5 wins & 6 nominations.,TRUE,UK,Guy Hamilton,"Action, Adventure, Thriller","Bond is back and his next mission takes him to Fort Knox, where Auric Goldfinger and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats and avoid Goldfinger's personal pilot, the sexy Pussy Galore. She might not have feelings for Bond, but will 007 help her change her mind?",https://m.media-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_SX300.jpg,PG,Vietnam War,110,Goldfinger,99%,87,7.7,tt0058150,"169,657"
HELL DIVERS,HELL DIVERS,APPROVED,"PEACETIME NAVAL AVIATION FILM FOR WHICH SERVICE PROVIDED MEN, EQUIPMENT, AND PLANES",,,,,,TRUE,1931,1/16/1932,"Wallace Beery, Clark Gable, Conrad Nagel, Dorothy Jordan",,FALSE,USA,George W. Hill,"Adventure, Drama, Romance",Story of rivalry between 2 Navy aircrewmen on and off duty.,https://m.media-amazon.com/images/M/MV5BOWJhYzJhOTYtOGFkYi00ZWE2LTg0ZGItYzRiOTY1YmU3ZmFjXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,PASSED,,109,Hell Divers,,,6.4,tt0022987,387
AWAY ALL BOATS,AWAY ALL BOATS,APPROVED,"FULL NAVY COOPERATION PORTRAYING AMPHIBIOUS LANDINGS, USE OF SHIPS AND LANDING CRAFT",,,,,,TRUE,1956,8/16/1956,"Jeff Chandler, George Nader, Lex Barker, Julie Adams",,FALSE,USA,Joseph Pevney,"Drama, War","The story of USS 'Belinda', Attack Transport PA22, launched late 1943 with regular-navy captain Hawks and ex-merchant captain MacDougall as boat commander. Despite personal friction, the two have plenty to deal with as the only experienced officers on board during the ""shakedown."" Almost laughable incompetence gradually improves, but the crew remains far from perfect when the ship sees action, landing troops on enemy beachheads. And few anticipate the challenges in store at Okinawa...",https://m.media-amazon.com/images/M/MV5BMmMyZTk5ZmUtODNjYi00ZDJiLWFmMTQtZjE5MTk5YWVlZjk0XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Vietnam War,114,Away All Boats,62%,,6.3,tt0048971,"1,162"
BYE BYE BIRDIE,BYE BYE BIRDIE,LIMITED,"ROCK STAR (GUESS WHO) DRAFTED INTO ARMY. PENTAGON PROVIDED LIMITED, BACKGROUND HELP.",,,,,,TRUE,1963,5/27/1963,"Janet Leigh, Dick Van Dyke, Ann-Margret, Maureen Stapleton",Nominated for 2 Oscars. Another 5 nominations.,TRUE,USA,George Sidney,"Comedy, Musical","Conrad Birdie is the biggest rock & roll star of the 60's ever to be drafted. Aspiring chemist and song writer Albert is convinced he can make his fortune and marry his girlfriend Rosie if he gets Conrad on the Ed Sullivan show to kiss a high school girl goodbye. Albert's mother will do anything to break him up with Rosie. Kim and Hugo, the high school steadies, live in Sweet Apple, Ohio where most of the action takes place.",https://m.media-amazon.com/images/M/MV5BNmFiMzUwNTctZWY0Ny00ZGIyLThhNzEtOWVhZWQyNjcwNjZjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Approved,Vietnam War,112,Bye Bye Birdie,89%,,6.6,tt0056891,"7,369"
BAMBOO SAUCER,BAMBOO SAUCER,LIMITED,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION,,,,TRUE,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION,TRUE,1968,9/1/1974,"Dan Duryea, John Ericson, Lois Nettleton, Bob Hastings",,FALSE,USA,Frank Telford,Sci-Fi,"A flying saucer hidden in a Red Chinese peasant village is sought by teams from the United States and U.S.S.R. On finding it, they band together to explore the saucer and take a trip into space.",https://m.media-amazon.com/images/M/MV5BMmYzYmQ1ZDUtNmI1YS00ZjY0LWE2ZWUtN2YxNjk3MGY2ZTliXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,G,Vietnam War,103,The Bamboo Saucer,20%,,5.5,tt0062704,358
"BOLD AND THE BRAVE, THE",THE BOLD AND THE BRAVE,OTHER,"WORLD WAR II ARMY FILM, FOCUSED ON MEN DOING THE FIGHTING IN ITALY",,,,,,TRUE,1956,4/29/1956,"Wendell Corey, Mickey Rooney, Don Taylor, Nicole Maurey",,FALSE,USA,"Lewis R. Foster, Mickey Rooney","Drama, War",An assortment of American types come together in the Italian campaign of 1944.,https://ia.media-imdb.com/images/M/MV5BNTEzNzYwMTkyNV5BMl5BanBnXkFtZTgwNDg2Nzk1MDE@._V1_SX300.jpg,NOT RATED,Vietnam War,87,The Bold and the Brave,,,6,tt0049022,121
FORCE OF ARMS,FORCE OF ARMS,APPROVED,WORLD WAR II COMBAT STORY SET IN ITALY. ARMY PROVIDED MEN AND EQUIPMENT,,,,,,TRUE,1951,8/13/1951,"William Holden, Nancy Olson, Frank Lovejoy, Gene Evans",,FALSE,USA,Michael Curtiz,"Drama, Romance, War","Winter, 1943. The German army has halted the American advance in the mountains of Italy; back-and-forth combat decimates Joe Peterson's platoon. On leave in Naples, Joe meets WAC lieutenant Eleanor MacKay; initially cool, she begins to melt during a bombing raid. Their romance develops despite Joe's periodic returns to the front. But whether he'll come back in the end becomes more than doubtful...",https://m.media-amazon.com/images/M/MV5BM2Y2ODc1NjEtYjIzNy00OTJiLThkY2YtZDZmODcxNGEzYTg4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,Korean War,99,Force of Arms,44%,,6.5,tt0043553,492
AMBUSH BAY,AMBUSH BAY,APPROVED,MARINES PROVIDED TYPICAL ASSISTANCE OF MEN AND EQUIPMENT FOR WORLD WAR II MOVIE,,,,,,TRUE,1966,9/14/1966,"Hugh O'Brian, Mickey Rooney, James Mitchum, Peter Masterson",,FALSE,USA,Ron Winston,"Drama, War","With General MacArthur poised to strike against the Japanese defenses in the Philippines, a group of nine Marines are given a secret mission.They have to secretly land on a Philippine island in order to contact a spy who has information vital to General MacArthur's planned invasion.When their captain is killed, sergeant Corey takes charge of the group.The patrol fights its way through the Japanese-infested jungle, and only five Marines remain when they finally reach their destination.The group's radio has been destroyed, and they are unable to communicate with their base.It means that even if they find their spy and retrieve the vital intelligence they will be unable to relay this information to General MacArthur's headquarters.The Japanese, already alerted to commando's presence in the area are closing in.The Marines are running out of time.",https://m.media-amazon.com/images/M/MV5BMzdlNjhiZWMtZWRkMi00ZmEyLWI5OTQtOTc5OWRkMWI0NDE0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Approved,Vietnam War,109,Ambush Bay,40%,,5.5,tt0060098,534
GI BLUES,GI BLUES,APPROVED,"ARMY PROVIDED MEN, EQUIPMENT, AND LOCALES FOR ELVIS PRESLEY FILM SET IN GERMANY",,,,,,TRUE,1960,11/23/1960,"Elvis Presley, Juliet Prowse, Robert Ivers, James Douglas",3 nominations.,TRUE,USA,Norman Taurog,"Comedy, Musical","Tulsa is a specialist in the US Army stationed in Germany. He loves to sing and has dreams to run his own nightclub when he leaves the army....but dreams don't come cheap. Tulsa places a bet with his friend Dynamite that he can spend the night with a club dancer named Lili, who is rumored to be hard to get. When Dynamite gets transferred, Tulsa is brought in to take his place. He is not looking forward to it, but in order to keep his money, he must go through with it.",https://m.media-amazon.com/images/M/MV5BZWIzMmYzMzItMDliZS00Y2YzLTgxODktODNkZWZjMmE2ZDZiXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,PG,Vietnam War,104,G.I. Blues,0%,,6.3,tt0053848,"3,229"
GRACE QUIGLEY,GRACE QUIGLEY,LIMITED,THE NAVY AGREED TO GIVE ASSISTANCE BY LENDING SEVERAL DECORATIONS FOR THE FILM.,,,,,,TRUE,1984,5/17/1985,"Katharine Hepburn, Nick Nolte, Kit Le Fever, Chip Zien",2 wins & 1 nomination.,TRUE,USA,Anthony Harvey,Comedy,"Grace Quigley is nearing the end of her life, living alone in her New York apartment. One day she witnesses a murder being committed by top hit-man, Seymour Flint. She decides to blackmail him into killing her, however, she has one or two friends he has to get rid of first.",https://ia.media-imdb.com/images/M/MV5BNjc2NTY2YWEtYzI1ZC00MDM0LTg3MmUtNmNhM2FiYTNmMDA3XkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_SX300.jpg,PG,,87,Grace Quigley,33%,,5.8,tt0087354,539
COMBAT SQUAD,COMBAT SQUAD,APPROVED,"TYPICAL ARMY STORY SET IN KOREA. ARMY PROVIDED MEN, EQUIPMENT, AND TECHNICAL ADVISOR",,,,,,TRUE,1953,10/1/1953,"John Ireland, Lon McCallister, Hal March, George E. Stone",,FALSE,USA,Cy Roth,"War, Drama","A plotless shot-on-the-lot and sound-stage Korean War entry that is even below the standard of house producer Sam Katzman, which is understandable when the name of Jerry Thomas, the ...",,APPROVED,,72,Combat Squad,,,3.7,tt0045638,35
FLIGHT FROM ASHIYA,FLIGHT FROM ASHIYA,LIMITED,"MOVIE ABOUT AIR FORCE RESCUE ATTEMPT, PROVIDED LIMITED EQUIPMENT AND MEN AS BACKGROUND",,,,,,TRUE,1964,3/25/1964,"Yul Brynner, Richard Widmark, George Chakiris, Suzy Parker",,FALSE,"Japan, USA",Michael Anderson,"Adventure, Romance, Drama","Flight from Ashiya is a 1964 film about the U.S. Air Force's Air Rescue Service, flying out of Ashiya Air Base, Japan. In this fictionalized film set in the early 1960s, a flight crew's mission is to rescue a life raft of Japanese civilians stranded in rough seas. The Airplane used in the film was the HU-16 Albatross, A flying boat.",,,Vietnam War,100,Flight from Ashiya,29%,,5.4,tt0058104,380
BATTLE TAXI,BATTLE TAXI,APPROVED,"UNEXCEPTIONAL STORY OF ARMY HELICOPTERS IN KOREA WAR. USE OF MEN, EQUIPMENT, HELICOPTERS",,,,,,TRUE,1955,1/1/1955,"Sterling Hayden, Arthur Franz, Marshall Thompson, Leo Needham",,FALSE,USA,Herbert L. Strock,"Drama, War","Capt. Russ Edwards commands a helicopter rescue unit that fly wounded soldiers out of battle areas and rescue pilots who have to ditch their aircraft. He has a problem with one of his men, former fighter pilot Lt. Pete Stacey, who takes unnecessary risks with his helicopter. Stacey is frustrated at having to fly helicopters pilots instead of jets and wants out. Helicopter pilots are in short supply however meaning he has no chance of being transferred. Under pressure from his squadron commander to reduce the number of helicopters out of commission for repairs, Edwards does his best to get Stacey on side. He eventually comes around.",https://m.media-amazon.com/images/M/MV5BODQ0MjQ0YWQtYzljMi00NGFhLTkyZGItYzA3MzM2YTcyNGQzXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,,,82,Battle Taxi,20%,,5.5,tt0047861,164
FIRST TO FIGHT,FIRST TO FIGHT,APPROVED,"CONVENTIONAL WORLD WAR II MARINE STORY WHICH RECEIVED FULL COOPERATION, MEN, AND EQUIPMENT.",,,,,,TRUE,1967,5/21/1967,"Chad Everett, Marilyn Devin, Dean Jagger, Bobby Troup",,FALSE,USA,Christian Nyby,"Drama, War","Jack is the sole survivor of a Japanese attack on his squad at Guadalcanal. Because of his heroism and the fact that he is still alive, he becomes a Medal of Honor hero. He returns to train new recruits for the Marines and falls for a girl named Peggy. When training and marriage leave him with an empty feeling, he decides on a transfer back to the front lines. Soon he will find that marriage and life will change his outlook on the grueling battles that lie ahead.",https://m.media-amazon.com/images/M/MV5BMTAwNTQyMzY3NDJeQTJeQWpwZ15BbWU3MDUwMDQ2MTE@._V1_SX300.jpg,,Vietnam War,92,First to Fight,0%,,5.9,tt0061667,220
