Title,Subtitle,Status,Year,Remarks,Interesting?
KING KONG,,DENIED,1933,NAVY TURNED DOWN REQUEST FOR PLANES TO DEPLOY AGAINST KING KONG ON EMPIRE STATE BUILDING ON GROUNDS THEY WERE AVAILABLE FROM COMMERCIAL SOURCES. PRODUCER WENT TO FLOYD BENNETT FIELD ON LONG ISLAND AND CONVINCED COMMANDER OF NAVAL AIR STATION TO SEND A FLIGHT OF FOUR PLANES (ONE PILOTED BY A MARINE) TO ATTACK KING KONG.,Y
KING KONG,,APPROVED,1976,AIR FORCE PROVIDED JETS FOR ATTACK ON KING KONG IN BAD REMAKE OF CLASSIC ORIGINAL. THIS TIME KONG CLIMBS WORLD TRADE CENTER.,Y
KING OF THE HILL,,DENIED,1993,AGREEMENT LEASING THIS FEDERAL PROPERTY TO THE STATE PROHIBITS COMMERCIAL USE. PRODUCTION COMPANY REQUEST USE OF JEFFERSON BARRACKS (AIR NATIONAL GUARD SITE) FOR ABOUT SIX HOURS TO DEPICT A 1939'S TUBERCULOSIS SANITARIUM EXTERIOR.,
KINGS GO FORTH,,APPROVED,1958,ROMANCE SET IN FRANCE DURING WORLD WAR II. TWO FRIENDS FALL FOR SAME FRENCH GIRL NOT KNOWING SHE IS HALF-BLACK. ARMY PROVIDED MEN AND EQUIPMENT,Y (UM...WHAT?)
LARGER THAN LIFE,ELEPHANT MAN II,APPROVED,1996,APPROVED USE OF C-5 AIRCRAFT (NON-FLYING) ON THE GROUND AT SO CAL AIRPORT FOR SCENE IN WHICH THE USAF IS HELPING RELOCATE ELEPHANTS TO SRI LANKA FOR AN ANIMAL CONSERVATION PROJECT. REASONABLY ACCURATE & VERY POSITIVE. NO FILE.,
"LAST ACTION HERO, THE",,LIMITED,1993,FILM ABOUT COMIC BOOK HERO TIME TRAVELING BETWEEN COMIC BOOK WORLD AND REAL WORLD. NO MILITARY THEME. REQUESTED PERMISSION TO PIACE FICTIONAL MOVIE PROMOTION SIGN (EVENTUALLY WAS A BALLOON) ATOP THE MILITARY RECRUITING STATION AT TIMES SQUARE IN NYC. WE SAID OKAY. MINOR PLUG FOR THE RECRUITING STATION. FILMED IN JAN 93 WITHOUT INCIDENT,
"LAST PLANE OUT, THE",,APPROVED,1983,THE REQUEST FOR ASSISTANCE IN THE FILM WAS GRANTED AND THE USE OF SOME AIRCRAFT AS WELL SMALL SCALE PRODUCTION,
LE NOUVEAU MONDE,THE NEW WORLD,DENIED,1995,"REQUESTED MILITARY BAND IN EUROPE FOR PERIOD FILM (EARLY '60'S) IN WHICH YOUNG FRENCH PEOPLE ARE INFLUENCED BY JAZZ-PLAYING US SOLDIERS. UNFORTUNATELY, SOME SOLDIERS ARE SMOKING MARIJUANA, SOME ARE VERY HEAVY DRINKERS, AND NONE ARE PARTICULARLY POSITIVE. NO FILE.",Y
LEVIATHAN,,DENIED,1989,THE FILM WAS DENIED BECAUSE THERE WAS NO BENEFIT TO THE NAVY OR TO THE GOVERNMENT.,Y
LICENSE TO KILL,LICENSE REVOKED,APPROVED,1989,APPROVAL AND ASSISTANCE WAS GIVEN PROVIDING IT WAS AT NO ADDITIONAL COST TO THE U.S GOVERNMENT AND NO ARMY OR NATIONAL GUARD MARKINGS OR MILITARY UNIFORMS WILL BE SEEN IN THE FILM AND NO ADDITIONAL REQUESTS WILL BE DIRECTED TO DOD. MINOR ASSISTANCE.,
LIFE FLIGHT,,APPROVED,,"THE NATIONAL GUARD BUREAU APPROVED USE OF AN APPROPRIATE HELICOPTER FOR THE PRODUCTION. NO RECORD FILM MADE WITH THIS TITLE",
LIMBO,,DENIED,1972,"NAVY TURNED DOWN REQUEST FOR LIMITED ASSISTANCE ON GROUNDS THAT IT SHOWED POW WIVES BEING UNFAITHFUL AND THAT COMPLETED FILM WOULD BE SHOWN IN NORTH VIETNAM AS SOON AS IT WAS RELEASED IN US. AND THE WIVES‘ INFIDELITY WOULD HURT POW MORALE, ESPECIALLY IF FILM HAD RECEIVED MILITARY SUPPORT.",
LONE STAR,,DENIED,1996,"ARMY OFFICE IN LA PROVIDED MUCH INFORMATION TO FILMMAKERS IN PRE PRODUCTION. COMPANY WANTED TO SHOOT ON MILITARY BASE, BUT REFUSED TO SIGN AGREEMENT TO ALLOW ARMY PROJECT ADVISOR TO WATCH FILMING AND OFFER SUGGESTIONS FOR TECHNICAL CORRECTIONS. SO DID NOT RECEIVE COOPERATION, ARMY PA OFFICER DID CONSIDER HE HAD PROVIDED COURTESY ASSISTANCE",
LONE SURVIVOR,,APPROVED,2013,"Approved filming at Kirtland Air Force base, New Mexico. Reenacted combat and rescue efforts utilizing Air Force Pave Hawk, Army Black Hawk and Apache helicopters, and AF pararescue jumpers and other military personnel.",
"LONGEST DAY, THE",,APPROVED,1962,"ARMY, NAVY, AND MARINES GAVE FULL COOPERATION TO RECREATION OF D-DAY. HOWEVER, MASSIVE SCALE OF PRODUCTION SUPPORT RESULTED IN CONGRESSIONAL SCRUTINY AND CRITICISM. ASD(PA) ARTHUR SYLVESTER ORDERED AN INVESTIGATION OF WHOLE PROCESS. HIS NEW REGULATIONS REALLY CHANGED VERY LITTLE EXCEPT THAT FILMMAKERS NOW HAD TO REIMBURSE THE DOD FOR COSTS. ALSO, MILITARY EXTRAS MUST BE IN A LEAVE OR OFF-DUTY STATUS, AND BE HIRED BY THE PRODUCTION COMPANY. SOME POST PRODUCTION CONTROVERSY AROSE BECAUSE PRODUCER DARRYL ZANUCK REFUSED TO REMOVE A SCENE IN WHICH AMERICAN SOLDIERS KILL SOME GERMANS TRYING TO SURRENDER.",Y
LOVE FIELD,,DENIED,1992,"THE DEPARTMENT OF DEFENSE AND THE MDW AREA DENIED FILMING WITHIN ARLINGTON NATIONAL CEMETERY. IT WAS FELT THAT THE FILM HAD NO MILITARY THEME, AND DEPICTION OF CIVILIAN LAW ENFORCEMENT OPERATION DEPICTED ACCURATELY FOR THE SAKE OF ACTION AND DRAMA",
MACARTHUR,,APPROVED,1977,"APPROVED USE OF FILMING ON MILITARY INSTALLATIONS, INCLUDING WEST POINT. VERY POOR PORTRAYAL OF THE GENERAL, IN LARGE PART BECAUSE GREGORY PECK REFUSED TO PLAY CHARACTER WITH WARTS. DESPITE LONG CORRESPONDENCE, ONLY VERY LIMITED COOPERATION EXCEPT AT WEST POINT. DOCUMENTS IN GEORGETOWN UNIVERSITY LIBRARY SUID COLLECTION.",Y
MAD BEAR ANDERSON,,DENIED,,"THE ARMY DENIED THE FILM, CITING INACCURATE PORTRAYAL OF ARMY AND IT HAD NO INFORMATIONAL VALUE. NO RECORD OF FILM BEING MADE",
MADAME BUTTERFLY,,DENIED,1915,"PROBABLY THE FIRST FILM ON WHICH THE NAVY REFUSED TO ASSIST. STANDARD STORY OF AN AMERICAN NAVAL OFFICER VISITING JAPAN, SEDUCING JAPANESE GIRL, PRETENDING TO MARRY HER, AND THEN ABANDONING GIRL AND THEIR CHILD WHEN HE RETURNS TO US. AND GIRL KILLS SELF. NAVY THOUGHT THIS WAS A BAD IMAGE OF AN OFFICER AND SO REFUSED TO GIVE ACCESS TO A SHIP AND CREW.",Y
MAJOR MOVIE STAR,,APPROVED,2008,"APPROVED FILMING AT NATIONAL GUARD CAMP MINDEN, LA, FOR APPROXIMATELY 20 DAYS. INVOLVES ARMY VEHICLES (TRUCKS, HUMVEES, ETC) AND OPERATORS; OFF-DUTY SOLDIERS, ACCESS TO TRAINING AREAS SUCH AS BAYONET ASSAULT COURSE.",
MAJOR PAYNE,,DENIED,1995,ANOTHER WARRIOR OUT OF BATTLE STORY. PATTON-LIKE MARINE WHO HAS NOTHING TO DO IN PEACETIME. TAKES OVER SCHOOL AND BECOMES HUMANIZED,
MANCHURIAN CANDIDATE,,LIMITED,1962,DOD GAVE LIMITED ASSISTANCE TO HELP RECREATE OPENING POW SEQUENCE. STORY OF BRAINWASHED POW WHOM THE COMMUNISTS ARE USING AS A PROGRAMMED KILLER,
MARINE RAIDERS,,APPROVED,1944,"TYPICAL WWII MARINE MOVIE, WITH FOCUS ON TRAINING FOR COMMANDO ATTACK. FULL MARINE COOPERATION AT MARINE CORPS BASE, PENDLETON",
"MARINES, LET'S GO",,LIMITED,1961,"MARINE CORPS DID NOT WANT TO COOPERATE WITH STORY SET ON KOREAN WAR BATTLEFIELDS AND COMEDY OLIRINS LEAVE IN TOKYO. HOWEVER, THE MARINES FELT THEY OWEO DIRECTOR RAOUL WALSH FOR THE EARLIER ”WHAT PRICE GLORY"" ANO ""BATTLE CRY"" AND SO GAVE HIM SOME MEN AND EQUIPMENT AT MARINE CORPS BASE, PENDLETON",
MATINEE,,APPROVED,1993,"AUTHORIZED FILMING WITH FLORIDA NATIONAL GUARD TO SET UP A HAWK MISSILE BATTERY (ACTUALLY DONE DURING THE CUBAN MISSILE CRISIS), AUTHORIZED FILMING NAVY HELICOPTER FLYING OVERHEAD, AUTHORIZED FILMING AT NAS KEY WEST. POSITIVE DEPICTION OF NAVY FAMILY, THOUGH NOT MUCH OF A MILITARY PRESENCE OTHERWISE",
"MCCONNELL STORY, THE",,APPROVED,1955,AIR FORCE GAVE FULL COOPERATION TO FICTIONALIZE BIOGRAPHY OF JET TEST PILOT AND HIS COMBAT IN KOREA,
MCHALE'S NAVY,,LIMITED,1962,BASED ON TELEVISION SERIES ABOUT A PT-BOAT NAVY PROVIDED LIMITED ASSISTANCE,
MEGAFORCE,,OTHER,1982,"DONALD BARUCH APPROVAL. THE USE OF AIR FORCE'S C-130 AIRCRAFT ALONG WITH PERSONNEL WAS APPROVED, SINCE THE FILM POSED NO THREAT TO THE DEPARTMENT.",
MEMPHIS BELLE,SOUTHERN BELLE,DENIED,1990,THE AIR FORCE AND DOD TWICE REVIEWED THE SCRIPT AND FOUND IT BOTH TIMES TO HAVE INACCURATE PORTRAYALS. THE REQUEST FOR ASSISTANCE WAS LATER DENIED. FILM IS AN ABSURD PORTRAYAL OF BOMBING OF GERMANY. CONTAINED ALL THE CLICHES EVER INCLUDING IN AN AIR FORCE BOMBER MOVIE. ONLY CONNECTION WITH WYLER DOCUMENTARY IS USE OF COMBAT FOOTAGE. PILOT OF MEMPHIS BELLE THOUGHT COMPLETED FILM HAD NO RELATIONSHIP TO REALITY,
MEN OF THE FIGHTING LADY,,APPROVED,1954,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAFE LANDING, BUT ON AN AIRFIELD, NOT A CARRIER",
MEN WITHOUT WOMEN,,APPROVED,1930,"JOHN FORD'S SUBMARINE MOVIE ABOUT AMERICANS VISITING SINGAPORE AND THEN BEING SUNK IN A COLLISION AND EFFORTS TO RESCUE THE CREW. NAVY PROVIDED A SUBMARINE AND ACTIVE DUTY TECHNICAL ADVISOR, EARLY SOUND FILM. JOHN WAYNE'S FIRST SPEAKING ROLE",
"MEN, THE",,APPROVED,1950,ARMY AND VETERANS ADMINISTRATION GAVE FULL COOPERATION FOR BRIEF COMBAT SEQUENCE IN WHICH MARLON BRANDO RECEIVES A PARALYZING WOUND AND FOR FILMING IN VETERANS HOSPITAL SHOWING HOW SERVICE WORKED TO REHABILITATE PARALYZED VETERANS. VERY FRANK DISCUSSION OF SEXUAL IMPOTENCE ARMY AND VA FELT IT HAD GOOD INFORMATIONAL VALUE. BRANDO'S FIRST FILM ROLE,
MERRILL'S MARAUDERS,,APPROVED,1962,"ARMY PROVIDED TECHNICAL ADVISOR, MEN, AND EQUIPMENT FOR FILM ABOUT FRANK MERRILL AND HIS SMALL BAND OF SOLDIERS FIGHTING IN THE BURMA JUNGLE AGAINST THE JAPANESE. TECHNICAL ADVISOR, GENERAL SAMUEL WILSON, WAS MERRILL'S EXECUTIVE OFFICER",
MIDSHIPMAN,,APPROVED,1925,"EARLY ANNAPOLIS FILM, ONE OF SERIES THAT HOLLYWOOD FILMED AT THE NAVAL ACADEMY IN THE 1920S AND 1930S TO CAPTURE COLOR AND EXCITEMENT OF CADETS, MARCHING, ETC,",
MIDSHIPMAN JACK,,APPROVED,1933,ANOTHER ANNAPOLIS STORY WHICH NAVY ALLOWED TO BE FILMED AT ACADEMY,
MIDWAY,,APPROVED,1976,PORTRAYALS REASONABLY AND HISTORICALLY ACCURATE. APPROVED STOCK FOOTAGE AND USE OF THE AIRCRAFT CARRIER LEXINGTON OFF PENSACOLA FOR STATIONARY SCENES. NO FLYING SEQUENCES AS IN TORA! TORA! TORAL,
MILITARY AIR SCOUT,,LIMITED,1911,"FUTURE GENERAL HAP ARNOLD TOOK HIS BI-PLANE FROM COLLEGE PARK, MARYLAND, TO LONG ISLAND FOR AN AIR SHOW. FILMMAKER ASKED HIM TO FLY PLANE FOR CAMERA AND CREATED STORY. ARNOLD BECAME INTRIGUED WITH FILMMAKING AND SON SAID HE EVEN CONSIDERED LEAVING ARMY FOR A CAREER IN FILM. HOWEVER, CONTACTS WITH MOTION PICTURE INDUSTRY CONTINUED ENABLING HIM TO REGULARLY HAVE STORIES ABOUT ARMY AIR CORPS PRODUCED",
MISTER ROBERTS,,APPROVED,1955,"NAVY VERY RELUCTANTLY PROVIDED ASSISTANCE IN FORM OF FREISHTER AND SOME MEN. NOT A GOOD IMAGE MADE OF THE NAVY OR ITS OFFICERS. HOWEVER, JOHN FORD WAS TO DIRECT AND HE HAD A LONG STANDING RELATIONSHIP WITH THE NAVY--""PEARL HARBOR,""(DOC), ""MIDWAY,“ (DOC), “MEN WITHOUT WOMEN,"" 'THEY WERE EXPENDABLE,"" ETC. SD FINALLY AGREED TO PROVIDE A WORLD WAR II MERCHANT SHIP.",
MOSCOW ON THE HUDSON,,OTHER,1984,THE FILM HAD NO MILITARY SIGNIFICANCE BUT THE DOD HAD NO OBJECTIONS TO OFF DUTY MILITARY PERSONNEL PARTICIPATING AS EXTRAS. STRICTLY VOLUNTARY,
MYSTIC NIGHTS & PIRATE FIGHTS,,,1998,PRODUCTION COMPANY REQUESTED PERMISSION TO FILM US. SUBMARINES GETTING UNDERWAY & RETURNING TO PORT (TARGET OF OPPORTUNITY ONLY FOR THIS INNOCUOUS FILM THAT USES A NAVY FAMILY LARGELY AS SETTING). THE COMPANY ALSO ASKED TO FILM AT NAVY SUBMARINE BASE IN CONN.,
NAKED AND THE DEAD,,APPROVED,1958,NORMAN MAILER'S NOVEL OF SAME NAME TRANSFERRED TO SCREEN WITH ARMY ASSISTANCE AFTER EXTENSIVE NEGOTIATIONS,
NAVY BLUE AND GOLD,,APPROVED,1937,"ANOTHER PEACETIME ANNAPOLIS FILM, THIS TIME FOCUSING ON THE ARMY/NAVY GAME APPROVED ASSISTANCE, DATE APPROXIMATE, NO FILE",
NAVY SEALS,,LIMITED,1990,"THE REQUEST FOR APPROVAL WAS DENIED, BUT DUE TO SOME SUBSTANTIAL POSITIVE CHANGES IN THE SCRIPT, THE NAVY DID PROVIDE SOME COURTESY ASSISTANCE.",
"NET, THE",,LIMITED,1995,"COMPANY REQUESTED ONE DAY FILMING AT MISSILE LAUNCH FACILITY AT VANDENBERG AFB. PICTURE ESSENTIALLY NON-MILITARY, BUT THE SCENE IS INNOCUOUS AND OFFERS A BRIEF REMINDER THAT THE AIR FORCE IS IN THE MISSILE LAUNCH BUSINESS. FILMING COMPLETED OK. NO FILE",
NEVER SAY NEVER AGAIN,,DENIED,1983,"DENIED REQUEST FOR STOCK FOOTAGE AND UNDERSEA SHOT OF NUCLEAR SUBMARINE (TO BE SHOT BY PRODUCTION COMPANY). SCRIPT DEPICT ED DRUG ADDICTED USAF OFFICER, OTHER NEGATIVE MILITARY/DOD PORTRAYALS (ALSO NEGATIVE UK PORTRAYALS).",Y
"NEXT KARATE KID, THE",,APPROVED,1994,APPROVED FILMING FICTIONAL AWARDS CEREMONY AT FORT MYER & EXTRAS FOR ARRIVAL SCENE AT NATIONAL AIRPORT — POSITIVE DEPICTION OF MILITARY (KEY IF SHORT OPENING SCENE),
NIKITA,"AKA 'GIRL #5' ENGLISH VERSION OF FRENCH ""LA FEMME NIKITA""",DENIED,2010,"DECLINED REQUEST TO USE MILITARY AIRCRAFT TO DO WIDE-ANGLE ESTABLISHING SHOT OF US CAPITOL. NO MILITARY CONNECTION, NO BENEFIT. WE COULDN'T FLY THROUGH THE RESTRICTED AIR SPACE ANYWAY",
NO MAN IS AN ISLAND,,APPROVED,1962,NAVY PROVIDED MEN AND A SHIP IN THE PHILIPPINES FOR WORLD WAR II STORY OF SAILOR TRAPPED ON GUAM FOR THREE YEARS DURING THE WAR. IMPORTANT ONLY FOR DEATH OF SAILOR WORKING ON EXPLOSIVES FDR FILM WHILE OFF DUTY.,
NO WAY OUT,,OTHER,1987,"PRODUCER SAYS COMPANY ONLY FILMED IN NONSECURE, PUBLIC (AT THE TIME) COMMERCIAL SHOPPING AREA. HOWEVER, IT IS CLEAR THAT CAMERA CREW AND ACTOR KEVIN COSTNER DID FILM ON THE A RING (FLAG CORRIDOR). THE SCENES FILMED ELSEWHERE, PRINCIPALLY AT THE DEPARTMENT OF INTERIOR BUILDING, WERE SKILLFULLY DONE TO IMITATE THE PENTAGON. BUT THE FLAG CORRIDOR IS UNMISTAKABLY THE PENTAGON. PLOT OF THE FILM OBVIATES ANY DOD SUPPORT.",Y
NUMB3RS,ALL'S FAIR,APPROVED,2006,"APPROVED FILMING FOR AT JOINT FORCES TRAINING BASE, LOS ALAMITOS, CALIFORNIA, ON FEBRUARY 22, INCLUDING SEVERAL INTERIOR AND EXTERIOR SITES AND OFF-DUTY MILITARY PERSONNEL AS EXTRAS.",
ON THE BEACH,,OTHER,1959,"NAVY HAD MAJOR PROBLEMS WITH SCRIPT, PARTICULARLY THE IMPLICATION THAT THE US. MIGHT HAVE CAUSED WORLD WAR III. YET PORTRAYAL OF GREGORY PECK AS AMERICAN SUBMARINE CAPTAIN IS VERY POSITIVE. NAVY GAVE DIRECTOR STANLEY KRAMER A RIDE ABOARD NUCLEAR SUB AND ART DEPT ACCESS TO SUB. REFUSED TO SEND A SUB TO AUSTRALIA. KRAMER SECURED USE OF AUSTRALIAN SUB. AFTER FILMING DONE, AMERICAN SUB DID SHOW UP, BUT TOO LATE",
ONE MINUTE TO ZERO,,APPROVED,1952,"ARMY PROVIDED FULL COOPERATION TO FILM ABOUT OPENING DAYS OF KOREAN WAR. HOWEVER, SERVICE THEN OBJECTED TO CLOSING SEQUENCE IN WHICH OFFICER CALLS DOWN ARTILLERY ON LINE OF REFUGEES INFILTRATED WITH NORTH KOREAN SOLDIERS. HOWARD HUGHES REFUSED TO DELETE OR CHANGE SEQUENCE SINCE IT WAS CRUCIAL TO STORY. HUGHES DID CHECK TO MAKE SURE PENTAGON WOULD NOT CANCEL HIS DEFENSE CONTRACTS IF HE REFUSED.",
OPERATION DUMBO DROP,,OTHER,1985,"DOD WORKED INFORMALLY WITH STUDIO FOR MONTHS, DISCUSSING NEGATIVE, INACCURATE ASPECTS OF SCRIPT. THE WHOLE TIME, IT WAS UNCERTAIN WHETHER OR NOT STUDIO WOULD FILM IN THE US. (AND THEREFORE NEED US. MILITARY ASSISTANCE) OR OVERSEAS (AND NOT NEED US MILITARY ASSISTANCE). THE STUDIO DECIDED TO FILM IN THAILAND FOR PURELY FINANCIAL REASONS. DOD LOST ITS OPPORTUNITY TO INFLUENCE THE SCRIPT (AND RESOLVE ARMY — AIR FORCE CONFRONTATION SCENES). NO OFFICIAL DECLINE WAS EVER PUT IN WRITING, BECAUSE DISNEY NEVER FORMALLY REQUESTED ASSISTANCE. NO FILE.",
OPERATION PACIFIC,,APPROVED,1951,"FULL NAVY COOPERATION ON FIRST WORLD WAR II POST-WAR SUBMARINE MOVIE STARRING JOHN WAYNE. NAVY'S ONLY PROBLEM WITH FILM WAS PORTRAYAL OF TORPEDO PROBLEMS IN FIRST YEAR OF WAR. SHOWED TORPEDOS WERE DEFECTIVE WHICH SERVICE AND PENTAGON DID NOT APPRECIATE BEING PORTRAYED. AT SAME TIME, SHOWS HOW WAYNE SOLVED PROBLEM AND SO HELPED WIN The WAR. USE OF SUBMARINE,",
OPERATION PETTICOAT,,APPROVED,1959,"NAVY GAVE FULL COOPERATION FOR STORY BASED ON ACTUAL EVENTS AT BEGINNING OF WORLD WAR I WHEN A SUBMARINE RESCUED NURSES IN THE PHILIPPINES. SUB LOOKED ""PINK"" BECAUSE IT WAS BEING PAINTED WHEN WAR BEGAN.",
OPERATION: NATIONAL GUARD,,DENIED,,"NOT TO THE BEST INTEREST OF THE DEPARTMENT, NOR THE NGB. REQUEST FOR INSTALLATIONS, EQUIP., AND PERSONNEL DENIED. TOO STEREOTYPICAL AND INACCURATE. NO RECORD FILM WITH THIS TITLE WAS EVER MADE.",
OUTBREAK,,DENIED,1995,"PRODUCTION COMPANY REQUEST CONSIDERABLE MILITARY ASSISTANCE, INCLUDING AIRCRAFT AND VEHICLES. HOWEVER, FUNDAMENTAL NEGATIVE PORTRAYALS ABOUNDED. COMPANY WAS ULTIMATELY UNWILLING TO MAKE KEY CHANGES AND WITHDREW REQUEST. NO DOD FILE",
"OUTSIDER, THE",,APPROVED,1961,"MARINES GAVE FULL COOPERATION AT RECRUIT DEPOT IN SAN DIEGO AND AT CAMP PENDLETON FOR STORY ABOUT IRA HAYES, AN AMERICAN INDIAN WHO HELPED RAISE THE FLAG ON IWO JIMA. SHOWED HOW THE MARINES, THE MILITARY, AND THE GOVERNMENT USED HAYES TO RAISE BONDS FOR WAR EFFORT BUT DID NOT HELP HIM WHEN HE BECAME ALCOHOLIC. GEN. VICTOR KRULAK BELIEVES THE MARINES WERE GUILTY OF HIS DEATH BECAUSE OF THIS. FILMMAKERS TONED DOWN DEATH OF HAYES.",
PANCHO U.S. MARINE,,APPROVED,,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAFE LANDING, BUT ON AN AIRFIELD, NOT A CARRIER",
PASS THE AMMUNITION,,DENIED,,"TOO UNREALISTIC, CAUSES MISINTERPRETATION OF THE DUTIES OF THE GUARD AND ITS RELATIONSHIP AND THE TOWN; TOO VULGAR. REQUEST DENIED. NO RECORD OF FILM BEING MADE",
PASSAGES,,DENIED,,NOT IN THE BEST INTEREST OF THE GOVERNMENT. UNFAVORABLE REFLECTION ON THE US. MILITARY. UNSUPPORTED INFORMATION. VERY NEGATIVE FOR THE AIR FORCE. FILM DISAPPROVED. NO RECORD OF FILM BEING MADE.,
PATENT LEATHER KID,,APPROVED,1927,"AFTER CONSIDERABLE NEGOTIATIONS, THE ARMY PROVIDED MEN, TANKS, AND EQUIPMENT FOR STORY SET IN WORLD WAR I AND PEACETIME.",
PATRIOT GAMES,,APPROVED,1992,THE FILM CONTAINED NO MAJOR MILITARY ASPECTS BUT IT WAS ALSO AN EXCELLENT OPPORTUNITY TO SHOWCASE THE NAVAL ACADEMY. THE FILM CONTAINED NO MAJOR MILITARY ASPECTS BUT IT RESPECTED THE MILITARY AND FEDERAL GOVERNMENT,
"PEREZ FAMILY, THE",,APPROVED,1995,"LARGELY BACKGROUND BUT IMPORTANT TO STORY. POSITIVE, ACCURATE DEPICTION. NO FILE. REQUESTED USE OF FLORIDA NATIONAL GUARDSMEN TO REENACT THE HUMANITARIAN AID THEY PROVIDED (WITH TENTS, TRUCKS) TO CUBAN REFUGEES DURING THE MARIEL EXODUS. 12 SHOOTING DAYS.",
"PERFECT STORM, THE",,APPROVED,2000,"AFTER WEEKS OF PROTRACTED SCRIPT NEGOTIATIONS, THE PRODUCTION COMPANY AND DOD REACHED AN ACCOMMODATION THAT WAS ACCEPTABLE. ON THIS DATE, SAAV SIGNED LETTER TO DUNCAN HENDERSON ADVISING HIM THAT ASSISTANCE WAS APPROVED. ASSISTANCE CONSISTS OF FILMING FOR A FEW DAYS AT A NAVY/ANG INSTALLATION (PT MUGU) WITH FLYING AND NONFLYING HELICOPTERS; LOAN OF A HH-60 BLACKHAWK ""CARCASS"" FROM THE DAVIS MONTHAN BONEYARD.",
PET SEMATARY,,APPROVED,1989,"THE REQUEST FOR CAMOUFLAGE NETTING WAS APPROVED AS LONG AS IT WAS NO EXTRA COST TO THE GOVERNMENT, THE PRODUCER ENTER A ""HOLD HARMLESS"" AGREEMENT WITH THE MAINE NATIONAL GUARD, ALL EQUIPMENT WILL BE RETURNED IN LIKE NEW OR BETTER CONDITION, ETC.",
"PHILADELPHIA EXPERIMENT, THE",,DENIED,1985,"THE DEPARTMENT FELT THAT A MOVIE OF THIS NATURE WOULD PERPETUATE THE MYTH OF THE PHILADELPHIA, AND THE ROLE OF THE NAVY IN IT. MYTHICAL AND BASED ON A FABRICATED STORY. THE NAVY'S PROBLEM IN ASSISTING WAS THE SAME ONE THE AIR FORCE FACED IN DEALING WITH ""CLOSE ENCOUNTERS."" HOW COULD AIR FORCE ASSIST ON A FLYING SAUCER MOVIE WHEN IT HAS ALWAYS SAID UFOS DO NOT EXIST. HOW COULD THE NAVY HELP PORTRAY AN INCIDENT WHICH IT SAID NEVER HAPPENED. FILMMAKERS USED THE YORKTOWN IN CHARLESTON.",
PIONEER CHRISTMAS,,APPROVED,,"THE DOD AND THE NGB ALLOWED USE OF AND ISOLATED FOREST LOCATION ON THE GROUNDS OF CAMP G. W. WILLIAMS FOR FILMING PORTIONS OF THE SUBJECT MOTION PICTURE. NO FILE, NO RECORD OF FILM BEING MADE",
PLATOON,,DENIED,1986,"DENIED COOPERATION BECAUSE OF ITS UNREALISTIC VIEWS OF THE AMERICAN SOLDIER. TOTALLY UNBALANCED. ARMY SAID SCRIPT CONTAINED ""UNREALISTIC AND HIGHLY UNFAVORABLE DEPICTION OF THE AMERICAN SOLDIER, IMPLYING THAT ALL THE EVENTS DEPICTED OCCURRED ON EVERY COMBAT PATROL."" WON OSCAR FOR BEST PICTURE AND DIRECTOR.",Y
POISON,,DENIED,1991,THE DEPARTMENT DISAPPROVED THE REQUEST FOR LOCATIONS BECAUSE THE FILM DID NOT BENEFIT THE DEPARTMENT NOR WAS IT IN THE BEST NATIONAL INTEREST COMMERCIAL ASSISTANCE WAS AVAILABLE. NO,Y
PORK CHOP HILL,,APPROVED,1959,"ARMY GAVE FULL COOPERATION TO STORY OF ASSAULT ON UNIMPORTANT HILL IN KOREA DURING FINAL STAGES OF TRUCE NEGOTIATIONS. BOTH SIDES KNEW HILL WAS OF NO VALUE EXCEPT FOR AMERICAN DEMONSTRATION OF WILLINGNESS TO KEEP FIGHTING IF NECESSARY. MEN KNEW THIS, BUT OBEYED ORDERS AND TOOK HILL. PRODUCER MADE MOVIE TO SHOW FUTILITY OF WAR AND TO SHOW THAT BLACKS HAD FOUGHT BRAVELY DESPITE STORIES TO THE CONTRARY FOLLOWING THE BATTLE",Y
PRESIDIO,,APPROVED,1988,"THE ARMY AND THE DEPARTMENT APPROVED ASSISTING THE FILM ON THE BASIS OF NO INTERFERENCE WITH THE MILITARY, NO ADDITIONAL EXPENSE TO THE GOVERNMENT. VIETNAM RELATED MOVIE THAT USED PRESIDIO AS A BACKGROUND TO A MURDER MYSTERY. PRODUCERS OBVIOUSLY NEEDED USE OF THE PRESIDIO AND WERE WILLING TO REWRITE SCRIPT AFTER LONG NEGOTIATIONS.",
